time,x1,y1,z1,a1,e1 ,r1,x2,y2,z2,a2,e2,r2,x3,y3,z3,a3,e3,r3,x4,y4,z4,a4,e4,r4,V0,V1,V2,V3,V4,V5
460.0009,5.563476563,12.69140625,2.522460938,36.16699219,88.06640625,-80.00244141,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397712679,0.564380571,-0.243342672,0.641553642,-0.080890088,0.479425342
470.0009,5.563476563,12.69140625,2.522460938,36.16699219,88.06640625,-80.00244141,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398361192,0.564380571,-0.243018416,0.640905129,-0.081214345,0.479749598
480.0009,5.563476563,12.69140625,2.522460938,36.14501953,88.06640625,-80.02441406,14.0625,4.697753906,-0.145019531,157.2583008,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398361192,0.564380571,-0.243018416,0.641229386,-0.080890088,0.479749598
490.0009,5.563476563,12.69140625,2.522460938,36.10107422,88.06640625,-80.06835938,14.0625,4.702148438,-0.145019531,157.2583008,11.40380859,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.565029084,-0.243018416,0.641229386,-0.081538602,0.479749598
500.0009,5.563476563,12.69140625,2.522460938,36.03515625,88.06640625,-80.13427734,14.0625,4.702148438,-0.145019531,157.2583008,11.40380859,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398361192,0.564056315,-0.243342672,0.641553642,-0.081214345,0.479749598
510.0009,5.563476563,12.69140625,2.522460938,35.96923828,88.08837891,-80.17822266,14.0625,4.702148438,-0.145019531,157.2583008,11.40380859,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398036935,0.565353341,-0.243666929,0.641877899,-0.081214345,0.480073855
520.0009,5.563476563,12.69140625,2.522460938,35.90332031,88.08837891,-80.24414063,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.565029084,-0.243342672,0.641229386,-0.081214345,0.480073855
530.0009,5.563476563,12.69140625,2.522460938,35.88134766,88.08837891,-80.28808594,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.564704828,-0.242694159,0.640905129,-0.081538602,0.479749598
540.0009,5.563476563,12.69140625,2.522460938,35.83740234,88.08837891,-80.31005859,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.565029084,-0.242694159,0.641229386,-0.082187115,0.480073855
550.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.08837891,-80.35400391,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398036935,0.565029084,-0.243018416,0.641877899,-0.081538602,0.479425342
